"actor_id","film_id","last_update","film_id-2","title","description","release_year","language_id","original_language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update-2","special_features","fulltext","film_id-3","replacement_cost-2"
1,1,"2022-02-15 13:05:03+03",1,"ACADEMY DINOSAUR","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,1,NULL,6,"0.99",86,"20.99","PG","2022-09-10 19:46:03.905795+03","{""Deleted Scenes"",""Behind the Scenes""}","'academi':1 'battl':15 'canadian':20 'dinosaur':2 'drama':5 'epic':4 'feminist':8 'mad':11 'must':14 'rocki':21 'scientist':12 'teacher':17",1,"167.92"
1,23,"2022-02-15 13:05:03+03",23,"ANACONDA CONFESSIONS","A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia",2006,1,NULL,3,"0.99",92,"9.99","R","2022-09-10 19:46:03.905795+03","{Trailers,""Deleted Scenes""}","'anaconda':1 'australia':18 'confess':2 'dentist':8,11 'display':5 'fight':14 'girl':16 'lacklustur':4 'must':13",23,"49.95"
1,25,"2022-02-15 13:05:03+03",25,"ANGELS LIFE","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",2006,1,NULL,3,"2.99",74,"15.99","G","2022-09-10 19:46:03.905795+03","{Trailers}","'angel':1 'astronaut':11 'battl':14 'berlin':18 'display':5 'life':2 'must':13 'robot':16 'thought':4 'woman':8",25,"95.94"
1,106,"2022-02-15 13:05:03+03",106,"BULWORTH COMMANDMENTS","A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback",2006,1,NULL,4,"2.99",61,"14.99","G","2022-09-10 19:46:03.905795+03","{Trailers}","'amaz':4 'bulworth':1 'command':2 'cow':9 'display':5 'mad':8 'must':14 'outback':21 'pioneer':12 'redeem':15 'sumo':17 'wrestler':18",106,"29.98"
1,140,"2022-02-15 13:05:03+03",140,"CHEAPER CLYDE","A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan",2006,1,NULL,6,"0.99",87,"23.99","G","2022-09-10 19:46:03.905795+03","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':19 'charact':5 'cheaper':1 'clyde':2 'discov':15 'dog':17 'emot':4 'girl':12 'japan':20 'must':14 'pioneer':9 'studi':6",140,"119.95"
1,166,"2022-02-15 13:05:03+03",166,"COLOR PHILADELPHIA","A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert",2006,1,NULL,6,"2.99",149,"19.99","G","2022-09-10 19:46:03.905795+03","{Commentaries,""Behind the Scenes""}","'car':8 'color':1 'crocodil':11 'desert':20 'monkey':16 'must':13 'panorama':5 'philadelphia':2 'sahara':19 'sink':14 'thought':4",166,"119.94"
1,277,"2022-02-15 13:05:03+03",277,"ELEPHANT TROJAN","A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon",2006,1,NULL,4,"4.99",126,"24.99","PG-13","2022-09-10 19:46:03.905795+03","{""Behind the Scenes""}","'baloon':20 'beauti':4 'eleph':1 'forens':11 'frisbe':17 'lumberjack':8 'must':14 'overcom':15 'panorama':5 'psychologist':12 'trojan':2",277,"74.97"
1,361,"2022-02-15 13:05:03+03",361,"GLEAMING JAWBREAKER","A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies",2006,1,NULL,5,"2.99",89,"25.99","NC-17","2022-09-10 19:46:03.905795+03","{Trailers,Commentaries}","'amaz':4 'canadian':20 'car':17 'compos':8 'discov':15 'display':5 'forens':11 'gleam':1 'jawbreak':2 'must':14 'psychologist':12 'rocki':21",361,"207.92"
1,438,"2022-02-15 13:05:03+03",438,"HUMAN GRAFFITI","A Beautiful Reflection of a Womanizer And a Sumo Wrestler who must Chase a Database Administrator in The Gulf of Mexico",2006,1,NULL,3,"2.99",68,"22.99","NC-17","2022-09-10 19:46:03.905795+03","{Trailers,""Behind the Scenes""}","'administr':18 'beauti':4 'chase':15 'databas':17 'graffiti':2 'gulf':21 'human':1 'mexico':23 'must':14 'reflect':5 'sumo':11 'woman':8 'wrestler':12",438,"114.95"
1,499,"2022-02-15 13:05:03+03",499,"KING EVOLUTION","A Action-Packed Tale of a Boy And a Lumberjack who must Chase a Madman in A Baloon",2006,1,NULL,3,"4.99",184,"24.99","NC-17","2022-09-10 19:46:03.905795+03","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'action':5 'action-pack':4 'baloon':21 'boy':10 'chase':16 'evolut':2 'king':1 'lumberjack':13 'madman':18 'must':15 'pack':6 'tale':7",499,"49.98"
1,506,"2022-02-15 13:05:03+03",506,"LADY STAGE","A Beautiful Character Study of a Woman And a Man who must Pursue a Explorer in A U-Boat",2006,1,NULL,4,"4.99",67,"14.99","PG","2022-09-10 19:46:03.905795+03","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'beauti':4 'boat':22 'charact':5 'explor':17 'ladi':1 'man':12 'must':14 'pursu':15 'stage':2 'studi':6 'u':21 'u-boat':20 'woman':9",506,"89.94"
1,509,"2022-02-15 13:05:03+03",509,"LANGUAGE COWBOY","A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park",2006,1,NULL,5,"0.99",78,"26.99","NC-17","2022-09-10 19:46:03.905795+03","{Trailers,""Deleted Scenes""}","'abandon':19 'amus':20 'cat':8 'cowboy':2 'dentist':16 'epic':4 'languag':1 'madman':11 'must':13 'park':21 'vanquish':14 'yarn':5",509,"80.97"
